"Statistic Label","Year","Age Group","Sex","Education Attainment Level","NUTS 2 Region","UNIT","VALUE"
"Annual employment rate","2020","55 - 59 years","Both sexes","Levels of Education (Levels  0-8)","Southern","%","65.5"
"Annual employment rate","2020","55 - 59 years","Both sexes","Levels of Education (Levels  0-8)","Eastern and Midland","%","70.6"
"Annual employment rate","2020","55 - 59 years","Both sexes","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2020","55 - 59 years","Both sexes","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2020","55 - 59 years","Both sexes","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2020","55 - 59 years","Both sexes","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2020","55 - 59 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Ireland","%","54.2"
"Annual employment rate","2020","55 - 59 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Northern and Western","%","60"
"Annual employment rate","2020","55 - 59 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Southern","%","50.8"
"Annual employment rate","2020","55 - 59 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","54.8"
"Annual employment rate","2020","55 - 59 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","68.1"
"Annual employment rate","2020","55 - 59 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","66.6"
"Annual employment rate","2020","55 - 59 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","65.6"
"Annual employment rate","2020","55 - 59 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","70.5"
"Annual employment rate","2020","55 - 59 years","Both sexes","Tertiary education (Levels 5-8)","Ireland","%","78.6"
"Annual employment rate","2020","55 - 59 years","Both sexes","Tertiary education (Levels 5-8)","Northern and Western","%","72.6"
"Annual employment rate","2020","55 - 59 years","Both sexes","Tertiary education (Levels 5-8)","Southern","%","77.7"
"Annual employment rate","2020","55 - 59 years","Both sexes","Tertiary education (Levels 5-8)","Eastern and Midland","%","81.4"
"Annual employment rate","2020","55 - 59 years","Both sexes","Level of education - not stated","Ireland","%","64.9"
"Annual employment rate","2020","55 - 59 years","Both sexes","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2020","55 - 59 years","Both sexes","Level of education - not stated","Southern","%","55.4"
"Annual employment rate","2020","55 - 59 years","Both sexes","Level of education - not stated","Eastern and Midland","%","70.2"
"Annual employment rate","2020","55 - 59 years","Male","Levels of Education (Levels  0-8)","Ireland","%","75"
"Annual employment rate","2020","55 - 59 years","Male","Levels of Education (Levels  0-8)","Northern and Western","%","75.3"
"Annual employment rate","2020","55 - 59 years","Male","Levels of Education (Levels  0-8)","Southern","%","72.7"
"Annual employment rate","2020","55 - 59 years","Male","Levels of Education (Levels  0-8)","Eastern and Midland","%","76.6"
"Annual employment rate","2020","55 - 59 years","Male","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2020","55 - 59 years","Male","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2020","55 - 59 years","Male","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2020","55 - 59 years","Male","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2020","55 - 59 years","Male","Primary and lower secondary education (Levels 1-2)","Ireland","%","66.6"
"Annual employment rate","2020","55 - 59 years","Male","Primary and lower secondary education (Levels 1-2)","Northern and Western","%","69.5"
"Annual employment rate","2020","55 - 59 years","Male","Primary and lower secondary education (Levels 1-2)","Southern","%","63.5"
"Annual employment rate","2020","55 - 59 years","Male","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","67.9"
"Annual employment rate","2020","55 - 59 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","74.5"
"Annual employment rate","2020","55 - 59 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","74.1"
"Annual employment rate","2020","55 - 59 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","74.5"
"Annual employment rate","2020","55 - 59 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","74.8"
"Annual employment rate","2020","55 - 59 years","Male","Tertiary education (Levels 5-8)","Ireland","%","83"
"Annual employment rate","2020","55 - 59 years","Male","Tertiary education (Levels 5-8)","Northern and Western","%","83.4"
"Annual employment rate","2020","55 - 59 years","Male","Tertiary education (Levels 5-8)","Southern","%","81"
"Annual employment rate","2020","55 - 59 years","Male","Tertiary education (Levels 5-8)","Eastern and Midland","%","84.3"
"Annual employment rate","2020","55 - 59 years","Male","Level of education - not stated","Ireland","%","73"
"Annual employment rate","2020","55 - 59 years","Male","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2020","55 - 59 years","Male","Level of education - not stated","Southern","%",""
"Annual employment rate","2020","55 - 59 years","Male","Level of education - not stated","Eastern and Midland","%",""
"Annual employment rate","2020","55 - 59 years","Female","Levels of Education (Levels  0-8)","Ireland","%","61.5"
"Annual employment rate","2020","55 - 59 years","Female","Levels of Education (Levels  0-8)","Northern and Western","%","58.9"
"Annual employment rate","2020","55 - 59 years","Female","Levels of Education (Levels  0-8)","Southern","%","58.4"
"Annual employment rate","2020","55 - 59 years","Female","Levels of Education (Levels  0-8)","Eastern and Midland","%","64.9"
"Annual employment rate","2020","55 - 59 years","Female","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2020","55 - 59 years","Female","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2020","55 - 59 years","Female","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2020","55 - 59 years","Female","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2020","55 - 59 years","Female","Primary and lower secondary education (Levels 1-2)","Ireland","%","37.5"
"Annual employment rate","2020","55 - 59 years","Female","Primary and lower secondary education (Levels 1-2)","Northern and Western","%","39.4"
"Annual employment rate","2020","55 - 59 years","Female","Primary and lower secondary education (Levels 1-2)","Southern","%","34.5"
"Annual employment rate","2020","55 - 59 years","Female","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","39.5"
"Annual employment rate","2020","55 - 59 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","62.7"
"Annual employment rate","2020","55 - 59 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","61"
"Annual employment rate","2020","55 - 59 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","57.3"
"Annual employment rate","2020","55 - 59 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","67"
"Annual employment rate","2020","55 - 59 years","Female","Tertiary education (Levels 5-8)","Ireland","%","74.7"
"Annual employment rate","2020","55 - 59 years","Female","Tertiary education (Levels 5-8)","Northern and Western","%","64.4"
"Annual employment rate","2020","55 - 59 years","Female","Tertiary education (Levels 5-8)","Southern","%","74.9"
"Annual employment rate","2020","55 - 59 years","Female","Tertiary education (Levels 5-8)","Eastern and Midland","%","78.5"
"Annual employment rate","2020","55 - 59 years","Female","Level of education - not stated","Ireland","%","55.8"
"Annual employment rate","2020","55 - 59 years","Female","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2020","55 - 59 years","Female","Level of education - not stated","Southern","%",""
"Annual employment rate","2020","55 - 59 years","Female","Level of education - not stated","Eastern and Midland","%",""
"Annual employment rate","2020","60 - 64 years","Both sexes","Levels of Education (Levels  0-8)","Ireland","%","51.8"
"Annual employment rate","2020","60 - 64 years","Both sexes","Levels of Education (Levels  0-8)","Northern and Western","%","55.3"
"Annual employment rate","2020","60 - 64 years","Both sexes","Levels of Education (Levels  0-8)","Southern","%","50"
"Annual employment rate","2020","60 - 64 years","Both sexes","Levels of Education (Levels  0-8)","Eastern and Midland","%","51.7"
"Annual employment rate","2020","60 - 64 years","Both sexes","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2020","60 - 64 years","Both sexes","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2020","60 - 64 years","Both sexes","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2020","60 - 64 years","Both sexes","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2020","60 - 64 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Ireland","%","42.7"
"Annual employment rate","2020","60 - 64 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Northern and Western","%","50.4"
"Annual employment rate","2020","60 - 64 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Southern","%","38"
"Annual employment rate","2020","60 - 64 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","42.9"
"Annual employment rate","2020","60 - 64 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","55"
"Annual employment rate","2020","60 - 64 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","57.9"
"Annual employment rate","2020","60 - 64 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","56.2"
"Annual employment rate","2020","60 - 64 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","52.4"
"Annual employment rate","2020","60 - 64 years","Both sexes","Tertiary education (Levels 5-8)","Ireland","%","59.1"
"Annual employment rate","2020","60 - 64 years","Both sexes","Tertiary education (Levels 5-8)","Northern and Western","%","59.5"
"Annual employment rate","2020","60 - 64 years","Both sexes","Tertiary education (Levels 5-8)","Southern","%","56.6"
"Annual employment rate","2020","60 - 64 years","Both sexes","Tertiary education (Levels 5-8)","Eastern and Midland","%","60.5"
"Annual employment rate","2020","60 - 64 years","Both sexes","Level of education - not stated","Ireland","%","43.4"
"Annual employment rate","2020","60 - 64 years","Both sexes","Level of education - not stated","Northern and Western","%",""
